time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate
2022-07-17 17:00:00,0.0,381.7790714285714,739.4962857142857,94504.35,0.0179462857142857,302.1878571428571,2.6120000000000005,-0.1122857142857143,0.0
2022-07-17 18:00:00,0.0,401.9945000000001,833.01,94529.45714285717,0.0168317857142857,302.92214285714283,3.1059999999999994,-1.0164285714285717,0.0
2022-07-17 19:00:00,0.0,401.9945000000001,853.1805,94512.60714285714,0.0157322142857142,303.5942857142858,3.503,-0.8159285714285716,0.0
2022-07-17 20:00:00,0.0,401.9945000000001,834.1399285714286,94511.75,0.0144718571428571,304.3614285714286,1.513,0.0325714285714285,0.0
2022-07-17 21:00:00,0.0,392.0516428571429,793.5855714285715,94499.45714285717,0.0138725714285714,304.825,1.5423571428571432,-0.1687857142857143,0.0
2022-07-17 22:00:00,0.0,392.0516428571429,681.6350714285715,94462.5142857143,0.0127905714285714,305.1864285714286,1.6117857142857144,-0.1689285714285714,0.0
2022-07-17 23:00:00,0.0,392.0487142857142,535.1842857142858,94439.45714285717,0.0134667142857142,305.60714285714283,1.2874285714285716,0.6977142857142857,0.0
2022-07-18 00:00:00,0.0,375.99307142857145,369.1671428571429,94398.06428571428,0.0164930714285714,303.10714285714295,0.8449285714285714,1.2897142857142856,0.0
2022-07-18 01:00:00,0.0,375.9958571428571,228.2797142857143,94348.35,0.0174021428571428,301.7357142857143,-0.3284999999999999,0.5999999999999999,0.0
2022-07-18 02:00:00,0.08841113,376.00192857142855,88.592,94370.65714285712,0.0164523571428571,300.1714285714285,1.2295,3.6948571428571433,2.4558647e-05
2022-07-18 03:00:00,0.3766662,351.89521428571425,0.0,94265.08571428571,0.0152565714285714,297.99857142857144,-1.980428571428572,2.456285714285715,0.0001046295
2022-07-18 04:00:00,0.0,351.9018571428572,0.0,94287.97857142855,0.0143912857142857,296.0542857142857,1.727357142857143,0.7225,0.0
2022-07-18 05:00:00,0.0,351.9018571428572,0.0,94280.20714285714,0.0130809285714285,296.80642857142857,0.7989285714285714,-0.6082142857142857,0.0
2022-07-18 06:00:00,0.0,365.41021428571423,0.0,94374.80714285714,0.0118784999999999,292.9785714285714,-3.970357142857144,0.1515714285714285,0.0
2022-07-18 07:00:00,0.0,365.41021428571423,0.0,94360.5642857143,0.0122787857142857,293.77857142857147,-4.224,-3.086642857142857,0.0
2022-07-18 08:00:00,0.08841113,365.41021428571423,0.0,94309.11428571428,0.0126937142857142,292.8314285714286,-3.366714285714285,1.880142857142857,2.4558647e-05
2022-07-18 09:00:00,0.3766662,359.55221428571434,0.0,94317.67857142857,0.0130734285714285,291.45,-1.0694285714285716,0.6825,0.0001046295
2022-07-18 10:00:00,0.0,359.55221428571434,0.0,94356.02142857145,0.0135930714285714,291.3121428571429,-5.058214285714285,0.6203571428571427,0.0
2022-07-18 11:00:00,0.0,359.5583571428571,0.0,94270.19285714289,0.0136216428571428,290.9028571428571,-4.288928571428571,0.1353571428571428,0.0
2022-07-18 12:00:00,0.0,367.58278571428576,101.09342857142856,94256.4,0.0136967142857142,291.50142857142856,-3.117928571428572,0.6436428571428572,0.0
2022-07-18 13:00:00,0.0,367.589,217.1775714285714,94229.45714285717,0.0144433571428571,293.4142857142857,-1.8693571428571425,-0.3480714285714286,0.0
2022-07-18 14:00:00,0.0,367.5823571428572,332.2702857142857,94249.00714285715,0.0147902142857142,294.1107142857143,-2.0042142857142857,-0.1692142857142857,0.0
2022-07-18 15:00:00,0.0,384.9061428571428,487.4447857142856,94218.98571428572,0.0156796428571428,295.8414285714286,-3.206285714285714,-1.304714285714286,0.0
2022-07-18 16:00:00,0.0,384.9044285714286,617.2456428571428,94170.54285714286,0.0165222142857142,297.2678571428572,-2.208857142857142,-1.595857142857143,0.0
2022-07-18 17:00:00,0.0,384.8984285714286,728.6591428571429,94188.89285714286,0.0171895714285714,298.0757142857143,-2.170642857142857,-4.143785714285714,0.0
2022-07-18 18:00:00,0.0,408.1125,745.4842142857143,94150.62142857142,0.0193367142857142,299.10714285714283,-4.047642857142857,-2.616928571428572,0.0
2022-07-18 19:00:00,0.0,408.1125,763.5810714285715,94130.17142857144,0.0187421428571428,299.6528571428572,-5.100142857142857,-1.6970714285714286,0.0
2022-07-18 20:00:00,0.0,408.1164285714285,746.4571428571428,94105.15714285712,0.0201100714285714,300.61357142857145,-5.299999999999999,-2.5106428571428565,0.0
2022-07-18 21:00:00,0.0,413.6372142857143,598.1602142857143,94049.00714285715,0.0201358571428571,300.4164285714286,-4.902285714285715,-0.7902142857142859,0.0
2022-07-18 22:00:00,0.0,413.6380714285714,513.6011428571429,94000.21428571428,0.0188967142857142,299.41285714285715,-5.42,-1.2333571428571428,0.0
2022-07-18 23:00:00,0.0,413.6385714285714,402.9771428571429,93920.21428571428,0.0169526428571428,298.80285714285714,-5.699714285714286,-1.9371428571428573,0.0
2022-07-19 00:00:00,0.0,392.0762142857143,357.7229285714285,93800.62142857142,0.0179191428571428,298.6264285714286,-6.202285714285716,-0.1628571428571428,0.0
2022-07-19 01:00:00,0.0,392.0762142857143,220.46971428571428,93770.1,0.0178980714285714,297.9835714285714,-5.967500000000001,0.1894285714285714,0.0
2022-07-19 02:00:00,0.0,392.07857142857137,84.36671428571428,93759.00714285715,0.0176181428571428,296.8792857142857,-3.972285714285714,0.4761428571428571,0.0
2022-07-19 03:00:00,0.0,393.3473571428571,0.0,93708.99285714285,0.0179898571428571,296.3128571428571,-2.989785714285714,-1.2325,0.0
2022-07-19 04:00:00,0.91906804,393.3473571428571,0.0,93697.31428571428,0.0170596428571428,295.99571428571426,-7.275357142857143,-3.883142857142857,0.00025529668
2022-07-19 05:00:00,1.507939,393.34135714285713,0.0,93627.41428571429,0.0155585,295.2007142857143,-4.394285714285714,0.7797142857142856,0.00041887193
2022-07-19 06:00:00,5.335075,408.2239285714285,0.0,93785.33571428571,0.0141377142857142,292.14214285714286,1.7175714285714287,-5.753357142857142,0.0014819653
2022-07-19 07:00:00,1.9715657,408.2247857142857,0.0,93650.7214285714,0.0141597142857142,291.51428571428573,-0.7146428571428572,-0.2657142857142857,0.00054765714
2022-07-19 08:00:00,0.0,408.2247857142857,0.0,93620.25714285714,0.0135996428571428,290.6121428571428,-1.2597857142857145,-0.4543571428571428,0.0
2022-07-19 09:00:00,0.0,378.7307142857143,0.0,93387.67142857144,0.0131499999999999,290.12857142857143,0.4160714285714286,0.9727142857142858,0.0
2022-07-19 10:00:00,0.9221943,378.7367857142857,0.0,93455.26428571428,0.0131192857142857,290.49071428571426,1.7104285714285712,-1.879928571428572,0.00025616508
2022-07-19 11:00:00,1.507939,378.7367857142857,0.0,93390.70714285717,0.0134244285714285,290.4628571428572,-0.3198571428571428,0.6789285714285714,0.00041887193
2022-07-19 12:00:00,5.335075,381.5547857142857,49.922714285714285,93369.7642857143,0.0132627857142857,290.2292857142857,2.0524285714285715,-1.241642857142857,0.0014819653
2022-07-19 13:00:00,0.4847592,381.55692857142856,108.40128571428572,93379.5642857143,0.0121782857142857,289.49357142857144,3.495142857142857,-0.5040714285714287,0.00013465533
2022-07-19 14:00:00,0.099999994,381.5609285714285,166.38135714285713,93330.97857142858,0.0112931428571428,288.06,5.839642857142858,0.1277142857142857,2.7777776e-05
2022-07-19 15:00:00,0.099999994,389.6359285714285,255.1512857142857,93349.05,0.0112919285714285,288.3692857142857,5.2635,0.3045,2.7777776e-05
2022-07-19 16:00:00,0.099999994,389.6299285714285,323.31457142857147,93381.80714285711,0.0119184285714285,289.8607142857143,4.359642857142857,-2.873071428571428,2.7777776e-05
2022-07-19 17:00:00,0.0,389.6299285714285,381.9340714285714,93453.7,0.0144309285714285,292.5007142857143,-0.1475714285714285,-3.9808571428571433,0.0
2022-07-19 18:00:00,0.0,396.2094285714287,454.1412857142856,93562.75,0.0148793571428571,294.79857142857145,-0.0765,-8.285285714285715,0.0
2022-07-19 19:00:00,0.0,396.2075,465.27635714285714,93699.02142857145,0.0138154285714285,294.81428571428575,1.906642857142857,-7.6705,0.0
2022-07-19 20:00:00,0.0,396.2075,454.88685714285714,93795.40714285716,0.0145824285714285,294.7107142857143,2.3325714285714283,-9.144142857142857,0.0
2022-07-19 21:00:00,0.0,400.0995714285714,561.0124999999999,93815.5142857143,0.0142081428571428,294.65500000000003,2.563928571428572,-7.017785714285714,0.0
2022-07-19 22:00:00,0.0,400.0925,481.5334285714286,93859.04285714286,0.0154692857142857,295.8778571428571,4.514357142857143,-7.996,0.0
2022-07-19 23:00:00,0.0,400.0922142857143,377.5508571428572,93977.83571428571,0.0150503571428571,295.62428571428575,4.6989285714285725,-6.982428571428572,0.0
2022-07-20 00:00:00,0.0,397.33657142857146,254.69971428571424,94049.00714285715,0.0148092857142857,296.5571428571429,4.418642857142857,-6.465571428571429,0.0
