land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_CONCEPTUAL_STORAGE
0.006184071937644098,19.635204727194996,0.0,0.0,0.0,0.006184071937644098,0.6493168956874197
0.006159744178090901,19.557961036597987,1.3105062860092366e-10,1.3105062860092366e-10,0.0,0.006159744047040273,0.6462626780426185
0.006201042618071637,19.689088767987936,6.281409561977589e-05,6.281409561977589e-05,2.717291453990988e-06,0.00613551123099787,0.6440353754047503
0.006122801739217385,19.440664155559485,3.4987115286727046e-06,3.4987115286727046e-06,7.929546504332983e-06,0.0061113734811843795,0.6412810685600197
0.006106552309770829,19.3890701771743,3.78866632512657e-06,3.78866632512657e-06,1.5433960233329905e-05,0.006087329683212373,0.6385951462608149
0.0062009435038799824,19.68877406798701,0.000112522218775065,0.000112522218775065,2.5040480665472293e-05,0.006063380804439445,0.6367915761125958
0.006853829501430902,21.76176907106826,0.0007777355886465541,0.0007777355886465541,3.6564015524970345e-05,0.006039529897259377,0.6364768153184373
0.006468858171681748,20.539436771259215,0.0004032425494488569,0.0004032425494488569,4.9837840260226426e-05,0.0060157777819726645,0.6355476855459637
0.00611784140603105,19.424914474991265,6.0993587372911665e-05,6.0993587372911665e-05,6.472628813187536e-05,0.005992121530526262,0.6335560241957321
0.006053061134999044,19.21922898219262,3.3942071074095253e-06,3.3942071074095253e-06,8.110857471916371e-05,0.005968558353172471,0.631030518865914
0.006047619579588546,19.20195136065185,3.6788505664024813e-06,3.6788505664024813e-06,9.88535989017354e-05,0.005945087130120408,0.6285684100405178
0.006150919460650645,19.529941450903276,0.00011138914322014856,0.00011138914322014856,0.00011782147833512189,0.005921708839095374,0.6269943994691349
0.0068021918814769565,21.59781314532154,0.0007658903198803865,0.0007658903198803865,0.00013787500322061128,0.005898426558375958,0.6269167135072407
0.006034131621090755,19.159125399193687,0.0,0.0,0.00015889325752064187,0.005875238363570113,0.624350212163416
0.006032924769395068,19.15529349355625,0.0,0.0,0.00018078451007447433,0.005852140259320593,0.6218397213598067
0.006032583989630304,19.154211475022915,0.0,0.0,0.00020345199719619186,0.005829131992434112,0.6193840187395172
0.006032994024199603,19.15551338625464,0.0,0.0,0.00022678071662466648,0.005806213307574937,0.616981908621995
0.006034046878357755,19.158856330378132,0.0,0.0,0.0002506629310059492,0.005783383947351806,0.6146322214208542
0.006035641464696546,19.16391934218217,0.0,0.0,0.0002749978122939371,0.005760643652402609,0.6123338130744034
0.006037683262931947,19.170402307899256,0.0,0.0,0.0002996911014550453,0.005737992161476902,0.6100855644886052
0.0060439773582699335,19.190386850734466,3.893060943211101e-06,3.893060943211101e-06,0.0003246547828676304,0.005715429514459092,0.6080920644927694
0.006046634985632348,19.19882515123869,3.8724735887708805e-06,3.8724735887708805e-06,0.00034980677282993165,0.005692955739213646,0.606142090392888
0.006051692278681056,19.214882691541924,6.04904625752477e-06,6.04904625752477e-06,0.0003750726030749825,0.005670570629348549,0.6042861528218667
0.0060486585552806975,19.20525023890354,0.0,0.0,0.0004003849591921931,0.005648273596088505,0.6022135339115801
0.0060517457705274716,19.215052534869457,0.0,0.0,0.00042568178528361517,0.005626063985243857,0.6001861472023614
0.006054845045701012,19.224893122616823,0.0,0.0,0.00045090351870697283,0.005603941526994039,0.598203005560492
0.006057898498502874,19.23458821858173,0.0,0.0,0.00047599254837565473,0.00558190595012722,0.5962631433951565
0.006060852628311507,19.24396795157451,0.0,0.0,0.0005008956462031681,0.005559956982108339,0.5943656161882988
0.006063658086376963,19.252875633119,0.0,0.0,0.0005255637372319794,0.005538094349144984,0.5925095000347355
0.006066269456270936,19.26116706035394,0.0,0.0,0.0005499516800189248,0.005516317776252011,0.5906938911923076
0.00606864504417391,19.268709850168275,0.0,0.0,0.0005740180568597542,0.005494626987314156,0.5889179056418482
0.006070746678598659,19.275382803298147,0.0,0.0,0.0005977249734513849,0.0054730217051472746,0.5871806786567547
0.0060725395191636895,19.28107529715859,0.0,0.0,0.0006210378676058564,0.005451501651557833,0.5854813643819532
0.006073991874045917,19.28568670623284,0.0,0.0,0.0006439253266448369,0.00543006654740108,0.5838191354220515
0.006075075025755234,19.289125848884723,0.0,0.0,0.0006663589131178322,0.005408716112637402,0.5821931824384824
0.006075763064888573,19.291310459506928,0.0,0.0,0.0006883129985010284,0.005387450066387545,0.5806027137554355
0.006076032731533157,19.292166684956417,0.0,0.0,0.0007097646045469611,0.005366268126986196,0.5790469549743912
0.006075863264002128,19.29162860427108,0.0,0.0,0.0007306932519679882,0.00534517001203414,0.5775251485970656
0.006075236254598103,19.289637770700896,0.0,0.0,0.0007510808161488401,0.0053241554384492636,0.5760365536565868
0.006074135512111284,19.286142775122165,0.0,0.0,0.0007709113895953692,0.005303224122515915,0.5745804453567167
0.006072546930771383,19.281098829943442,0.0,0.0,0.000790171150838026,0.005282375779933357,0.5731561147189483
0.006070458365382013,19.27446737264153,0.0,0.0,0.0008088482395195749,0.0052616101258624376,0.5717628682373052
0.006067859512378726,19.26621568810585,0.0,0.0,0.0008269326374071291,0.005240926874971597,0.5704000275406724
0.006064741796559873,19.25631654899465,0.0,0.0,0.0008444160550787704,0.005220325741481103,0.5690669290625
0.0060790762030929575,19.30183008922478,1.7977263425168202e-05,1.7977263425168202e-05,0.0008612918240448101,0.005199807115622979,0.5682244290972704
