datetime,first,second,third,fourth,fifth
2022-07-18 16:00:00+00:00,0.0,0.0,0.8169333144556138,0.0,0.022653263485770923
2022-07-18 17:00:00+00:00,0.0,0.0,0.8195290008966917,0.0,0.022653263485770923
2022-07-18 18:00:00+00:00,0.0,0.0,0.8209448298645523,0.0,0.022653263485770923
2022-07-18 19:00:00+00:00,0.0,0.0,0.8079663976591628,0.0,0.022464486290056162
2022-07-18 20:00:00+00:00,0.0,0.0,0.8060786257020153,0.0,0.021331823115767614
2022-07-18 21:00:00+00:00,0.0,0.0,0.8008872528198594,0.0,0.020954268724338098
2022-07-18 22:00:00+00:00,0.0,0.0,0.7919203360234085,0.0,0.02038793713719383
2022-07-18 23:00:00+00:00,0.0,0.0,0.7973476804002076,0.0,0.020765491528623347
2022-07-19 00:00:00+00:00,0.0,0.0,0.7883807636037568,0.0,0.020576714332908582
2022-07-19 01:00:00+00:00,0.0,0.0,0.7848411911841051,0.0,0.020576714332908582
2022-07-19 02:00:00+00:00,0.0,0.0,0.7824814762376706,0.0,0.02170937750719713
2022-07-19 03:00:00+00:00,0.0,0.0,0.7864929916466092,0.0,0.022464486290056162
2022-07-19 04:00:00+00:00,0.0,0.0,0.7834253622162444,0.0,0.022653263485770923
2022-07-19 05:00:00+00:00,0.0,0.0,0.7909764500448346,0.0,0.022653263485770923
2022-07-19 06:00:00+00:00,0.0,0.0,0.789088678087687,0.0,0.022653263485770923
2022-07-19 07:00:00+00:00,0.0,0.0,0.7916843645287649,0.0,0.022653263485770923
2022-07-19 08:00:00+00:00,0.0,0.0,0.7909764500448346,0.0,0.022653263485770923
2022-07-19 09:00:00+00:00,0.0,0.0,0.7916843645287649,0.0,0.022653263485770923
2022-07-19 10:00:00+00:00,0.0,0.0,0.7975836518948511,0.0,0.022653263485770923
2022-07-19 11:00:00+00:00,0.0,0.0,0.7919203360234085,0.0,0.022653263485770923
2022-07-19 12:00:00+00:00,0.0,0.0,0.807022511680589,0.0,0.022653263485770923
2022-07-19 13:00:00+00:00,0.0,0.0,0.7931001934966257,0.0,0.022653263485770923
2022-07-19 14:00:00+00:00,0.0,0.0,0.7973476804002076,0.0,0.022653263485770923
2022-07-19 15:00:00+00:00,0.0,0.0,0.7966397659162775,0.0,0.022653263485770923
2022-07-19 16:00:00+00:00,0.0,0.0,0.7928642220019823,0.0,0.022653263485770923
2022-07-19 17:00:00+00:00,0.0,0.0,0.7914483930341216,0.0,0.022653263485770923
2022-07-19 18:00:00+00:00,0.0,0.0,0.7860210486573224,0.0,0.022275709094341407
2022-07-19 19:00:00+00:00,0.0,0.0,0.7836613337108878,0.0,0.021331823115767614
2022-07-19 20:00:00+00:00,0.0,0.0,0.7770541318608712,0.0,0.020954268724338098
2022-07-19 21:00:00+00:00,0.0,0.0,0.7680872150644202,0.0,0.02038793713719383
2022-07-19 22:00:00+00:00,0.0,0.0,0.7645476426447686,0.0,0.020765491528623347
2022-07-19 23:00:00+00:00,0.0,0.0,0.7532210109018831,0.0,0.020765491528623347
2022-07-20 00:00:00+00:00,0.0,0.0,0.7496814384822313,0.0,0.020765491528623347
