divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-2626312,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,3.4814415004919114e-06,3.4814415004919114e-06,3.4814415004919114e-06,3.4814415004919114e-06,0.03380867948382946,0.03380867948382946,0.03380867948382946,0.03380867948382946,0.2053610235452652,2.0,12.574766159057617,0.3061431525537352,0.3061431525537352,0.3061431525537352,0.3061431525537352,2.000481128692627,0.05791977792978286,0.4948615155729559,0.4948615155729559,0.4948615155729559,0.4948615155729559,0.1183498939857215,0.1183498939857215,0.1183498939857215,0.1183498939857215,55.99174499511719
cat-2627367,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,1.122312184021439e-06,1.122312184021439e-06,1.122312184021439e-06,1.122312184021439e-06,0.019573314658283266,0.019573314658283266,0.019573314658283266,0.019573314658283266,0.20198593681834195,2.0,12.398816167376106,0.30766000181492736,0.30766000181492736,0.30766000181492736,0.30766000181492736,2.03447381369005,0.06226754276910282,0.49464559644871237,0.49464559644871237,0.49464559644871237,0.49464559644871237,0.11781810926338945,0.11781810926338945,0.11781810926338945,0.11781810926338945,55.37270687531376
cat-2629685,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,3.9028369913949187e-07,3.9028369913949187e-07,3.9028369913949187e-07,3.9028369913949187e-07,0.11171146342553626,0.11171146342553626,0.11171146342553626,0.11171146342553626,0.21396345942379674,2.0,12.569919228731035,0.27954111836971146,0.27954111836971146,0.27954111836971146,0.27954111836971146,2.007644539895926,0.06159499429509094,0.49718159280040825,0.49718159280040825,0.49718159280040825,0.49718159280040825,0.12766060555372857,0.12766060555372857,0.12766060555372857,0.12766060555372857,54.62839056053857
cat-2629683,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,3.5502699095987696e-07,3.5502699095987696e-07,3.5502699095987696e-07,3.5502699095987696e-07,0.060696810547233145,0.060696810547233145,0.060696810547233145,0.060696810547233145,0.2053610235452652,2.0,12.574766159057617,0.27775403757946365,0.27775403757946365,0.27775403757946365,0.27775403757946365,2.000481128692627,0.05791977792978287,0.4957653208848406,0.4957653208848406,0.4957653208848406,0.4957653208848406,0.12828608380368572,0.12828608380368572,0.12828608380368572,0.12828608380368572,55.991744995117195
cat-2626313,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,6.971016621556091e-06,6.971016621556091e-06,6.971016621556091e-06,6.971016621556091e-06,0.02689911665716866,0.02689911665716866,0.02689911665716866,0.02689911665716866,0.2053610235452652,2.0,12.574766159057617,0.35658601130995715,0.35658601130995715,0.35658601130995715,0.35658601130995715,2.000481128692627,0.05791977792978286,0.48762618967485705,0.48762618967485705,0.48762618967485705,0.48762618967485705,0.09647279962014241,0.09647279962014241,0.09647279962014241,0.09647279962014241,55.99174499511718
cat-2629686,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,2.7117049619620365e-07,2.7117049619620365e-07,2.7117049619620365e-07,2.7117049619620365e-07,0.05998975081427072,0.05998975081427072,0.05998975081427072,0.05998975081427072,0.2053610235452652,2.0,12.574766159057615,0.3909226879153752,0.3909226879153752,0.3909226879153752,0.3909226879153752,2.000481128692627,0.05791977792978287,0.4708828393154408,0.4708828393154408,0.4708828393154408,0.4708828393154408,0.07271721348079767,0.07271721348079767,0.07271721348079767,0.07271721348079767,55.99174499511718
cat-2626314,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,3.117801046871239e-06,3.117801046871239e-06,3.117801046871239e-06,3.117801046871239e-06,0.02813994027483904,0.02813994027483904,0.02813994027483904,0.02813994027483904,0.2053610235452652,2.0,12.574766159057617,0.3910652716034008,0.3910652716034008,0.3910652716034008,0.3910652716034008,2.000481128692627,0.05791977792978287,0.4708041571320708,0.4708041571320708,0.4708041571320708,0.4708041571320708,0.07261170157545493,0.07261170157545493,0.07261170157545493,0.07261170157545493,55.99174499511719
cat-2629672,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,4.6537921673671545e-07,4.6537921673671545e-07,4.6537921673671545e-07,4.6537921673671545e-07,0.008270519394184515,0.008270519394184515,0.008270519394184515,0.008270519394184515,0.20536102354526523,2.0,11.921052715302743,0.3347640887672282,0.3347640887672282,0.3347640887672282,0.3347640887672282,2.000481128692627,0.057919777929782874,0.48560298031281696,0.48560298031281696,0.48560298031281696,0.48560298031281696,0.10207199987704065,0.10207199987704065,0.10207199987704065,0.10207199987704065,58.174840218163034
cat-2625235,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.1087260447084895e-07,1.1087260447084895e-07,1.1087260447084895e-07,1.1087260447084895e-07,0.09922942155505304,0.09922942155505304,0.09922942155505304,0.09922942155505304,0.2053610235452652,2.0,12.574766159057617,0.4518767900547665,0.4518767900547665,0.4518767900547665,0.4518767900547665,2.0004811286926274,0.05791977792978287,0.464497365158574,0.464497365158574,0.464497365158574,0.464497365158574,0.061071705269367074,0.061071705269367074,0.061071705269367074,0.061071705269367074,55.991744995117195
cat-2627389,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,3.5708509973131664e-07,3.5708509973131664e-07,3.5708509973131664e-07,3.5708509973131664e-07,0.039587827033707036,0.039587827033707036,0.039587827033707036,0.039587827033707036,0.20717012952714814,2.0,12.213193152591325,0.25353772958488396,0.25353772958488396,0.25353772958488396,0.25353772958488396,2.0080751533916468,0.05965034594513189,0.49691416028789553,0.49691416028789553,0.49691416028789553,0.49691416028789553,0.1367617912409375,0.1367617912409375,0.1367617912409375,0.1367617912409375,56.61999559412571
